node027,0
node033,0
node093,1
node095,1
node025,0
node028,0
node089,1
node090,1
node091,1
node078,2
node079,2
node108,3
node300,3
node094,1
node051,4
node151,4
node082,2
node083,2
node060,5
node160,6
node045,4
node046,4
node067,6
node097,7
node149,8
node001,8
node100,7
node450,7
node013,9
node018,10
node019,10
node152,9
node052,9
node098,7
node099,7
node054,9
node057,5
node055,9
node020,10
node086,1
node087,1
node003,8
node005,8
node004,8
node053,9
node036,11
node037,11
node038,11
node035,11
node101,7
node105,3
node102,7
node073,2
node074,2
node040,11
node041,11
node042,11
node072,2
node007,8
node008,8
node076,2
node197,7
node047,4
node049,4
node048,4
node080,2
node081,2
node070,6
node071,6
node088,1
node021,10
node023,10
node022,10
node135,10
node015,9
node017,9
node016,9
node014,8
node010,8
node011,8
node110,3
node111,3
node112,3
node058,5
node059,5
node002,8
node084,2
node085,2
node044,4
node077,2
node109,3
node068,6
node069,6
node096,1
node029,0
node106,3
node034,9
node031,0
node032,0
node006,8
node030,0
node043,11
node024,10
node092,1
node107,3
node050,4
node009,8
node026,0
node113,3
node103,7
node061,5
node075,2
node250,0
node056,9
node012,8
node114,3
node039,11
node104,7
node063,5
node064,5
node062,5
node065,5
node066,5
node150,8
node610,5
